,ANNO,MES,COLOMBIA_TELECOMUNICACIONES,COLOMBIA_MOVIL,COMUNICACION_CELULAR_COMCEL,EMPRESA_DE_TELECOMUNICACIONES_DE_BOGOTA,UNE_EPM,AVANTEL,ALMACENES_EXITO,VIRGIN_MOBILE,PARTNERS_TELECOM,SETROC_MOBILE,UFF_MOVIL,CELLVOZ_COLOMBIA,LOGISTICA_FLASH,LOV_TELECOMUNICACIONES,SUMA_MOVIL
0,2012,1,1176511,,2529117,,,,,,,,14899.0,,,,
1,2012,2,1296041,,2182729,,,,,,,,14566.0,,,,
2,2012,3,1200276,929619.0,2636600,39647.0,,,,,,,16717.0,,,,
3,2012,4,1495856,952001.0,2242181,,,,,,,,17249.0,,,,
4,2012,5,1472165,941226.0,2646804,,,,,,,,18552.0,,,,
5,2012,6,1656250,980390.0,2237245,46886.0,,,,,,,17798.0,,,,
6,2012,7,1725136,1038047.0,2971505,,,,,,,,18986.0,,,,
7,2012,8,1787840,816769.0,3228328,,,,,,,,20279.0,,,,
8,2012,9,1845147,1012907.0,3515812,46510.0,,,,,,,19839.0,,,,
9,2012,10,1897737,1023409.0,3745596,,,,,,,,21026.0,,,,
10,2012,11,1723512,1051277.0,3955574,,,,,,,,20396.0,,,,
11,2012,12,1744595,1114258.0,4286508,41312.0,,,,,,,23777.0,,,,
12,2013,1,2032366,1172246.0,4519540,,113070.0,,,,,,17944.0,,,,
13,2013,2,1985323,1143607.0,4534803,,118426.0,,,,,,22919.0,,,,
14,2013,3,1758056,1258955.0,4816357,35678.0,121023.0,,,,,,26436.0,,,,
15,2013,4,2161515,1261242.0,4942035,,127896.0,,,5763.0,,,29181.0,,,,
16,2013,5,2205699,1006555.0,5296295,,134485.0,,,17674.0,,,29290.0,,,,
17,2013,6,2234490,990446.0,5387643,29570.0,139521.0,,,21622.0,,,27063.0,,,,
18,2013,7,2258855,1360291.0,5609669,,138654.0,,,29442.0,,,28361.0,,,,
19,2013,8,2017873,1384118.0,5863319,,144429.0,,,37396.0,,,21874.0,,,,
20,2013,9,2350803,1366834.0,6037219,26678.0,146571.0,,58740.0,45146.0,,,27359.0,,,,
21,2013,10,2388831,1204921.0,6442552,,146129.0,,,55387.0,,,29991.0,,,,
22,2013,11,2433619,1451286.0,6536127,,149773.0,,,96626.0,,,18516.0,,,,
23,2013,12,2483278,1584652.0,7461393,23272.0,154187.0,,3915.0,116978.0,,,10891.0,,,,
24,2014,1,2543212,1552148.0,7589444,,194790.0,,,133213.0,,,14524.0,,,,
25,2014,2,2598221,1637987.0,7615640,,196483.0,,,145426.0,,,31462.0,,,,
26,2014,3,2602218,1647099.0,8741690,17434.0,202526.0,,9289.0,168.0,,,35724.0,,,,
27,2014,4,2123239,1588827.0,9786599,,208300.0,,,185472.0,,,33031.0,,,,
28,2014,5,2755320,1782364.0,10283813,,210762.0,,,221512.0,,,34082.0,,,,
29,2014,6,2806555,1898753.0,10385552,17683.0,214031.0,,57065.0,259718.0,,,16990.0,,,,
30,2014,7,2530890,1710240.0,10933037,,194860.0,,,308433.0,,,34216.0,,,,
31,2014,8,2872982,1929448.0,11144916,,215788.0,2814.0,,335358.0,,,33011.0,,,,
32,2014,9,2950663,2053924.0,11229727,16857.0,224341.0,6894.0,54492.0,355159.0,,,6928.0,,,,
33,2014,10,1911927,2120430.0,11529925,,221572.0,15344.0,,393953.0,,,33637.0,,,,
34,2014,11,2993476,2119409.0,11454924,,218135.0,37810.0,,404834.0,,,34079.0,,,,
35,2014,12,3091312,2375615.0,12274578,32032.0,226410.0,48876.0,91009.0,448.0,,,38756.0,,,,
36,2015,1,3155502,2438818.0,10273379,25046.0,199183.0,60059.0,53275.0,462428.0,,,37114.0,,,,
37,2015,2,1985005,2342690.0,8540721,36600.0,168556.0,75219.0,70513.0,462723.0,,,36619.0,,,,
38,2015,3,3219325,2399544.0,9874753,54638.0,180068.0,92250.0,82.0,486799.0,,,38846.0,,,,
39,2015,4,2253708,2334747.0,10405709,78546.0,172689.0,111436.0,45132.0,517897.0,,,21887.0,,,,
40,2015,5,3320736,2594715.0,10178211,98971.0,171307.0,141067.0,64177.0,611844.0,,,34083.0,,,,
41,2015,6,3375627,2646467.0,10209684,79825.0,161790.0,170459.0,87674.0,765561.0,,,32925.0,,,,
42,2015,7,3415387,2765863.0,11366783,141295.0,151547.0,196100.0,69663.0,828883.0,,,32783.0,,,,
43,2015,8,3514328,2743735.0,11290175,152015.0,145931.0,211086.0,114372.0,840276.0,,,32742.0,,,,
44,2015,9,3100873,2740411.0,11411605,137218.0,143703.0,219216.0,138497.0,848846.0,,,14776.0,,,,
45,2015,10,3636019,2803537.0,12654240,220271.0,128072.0,232033.0,98693.0,831632.0,,,32062.0,,,,
46,2015,11,3660417,2773649.0,12081838,236624.0,132580.0,246453.0,138751.0,843237.0,,,29819.0,,,,
47,2015,12,3784773,2900840.0,12698692,230600.0,120929.0,262487.0,190867.0,892011.0,,,30566.0,,,,
48,2016,1,4025780,2657438.0,12631106,253020.0,104605.0,276905.0,107784.0,698172.0,,,27974.0,,,,
