,ANNO,MES,COLOMBIA_TELECOMUNICACIONES,COLOMBIA_MOVIL,COMUNICACION_CELULAR_COMCEL,EMPRESA_DE_TELECOMUNICACIONES_DE_BOGOTA,UNE_EPM,AVANTEL,ALMACENES_EXITO,VIRGIN_MOBILE,PARTNERS_TELECOM,SETROC_MOBILE,UFF_MOVIL,CELLVOZ_COLOMBIA,LOGISTICA_FLASH,LOV_TELECOMUNICACIONES,SUMA_MOVIL
0,2012,1,32386111291,0,43863362475,2531973410,0,0,0,0,0,0,298636750,0,0,0,0
1,2012,2,32838158601,0,42717665502,0,0,0,0,0,0,0,298270676,0,0,0,0
2,2012,3,33909963867,22492907856,44141812748,0,0,0,0,0,0,0,334684746,0,0,0,0
3,2012,4,34557587937,22412389160,45996166948,0,0,0,0,0,0,0,339495714,0,0,0,0
4,2012,5,34781203610,23452520912,46959042305,2454516880,0,0,0,0,0,0,368534897,0,0,0,0
5,2012,6,35492709480,24327600149,46906654798,0,0,0,0,0,0,0,364044814,0,0,0,0
6,2012,7,35896306382,25045784047,48423624941,0,0,0,0,0,0,0,393974214,0,0,0,0
7,2012,8,36190285756,25943117579,49050388295,0,0,0,0,0,0,0,414054562,0,0,0,0
8,2012,9,36206337851,25820818055,50250801437,3194363960,0,0,0,0,0,0,404010131,0,0,0,0
9,2012,10,36636122319,26335307879,52097630086,2342177947,0,0,0,0,0,0,435376038,0,0,0,0
10,2012,11,37605208028,26759238100,52756909685,0,0,0,0,0,0,0,389560175,0,0,0,0
11,2012,12,38901750391,28331914189,57286302993,0,0,0,0,0,0,0,441732985,0,0,0,0
12,2013,1,38407711109,28022150354,60669951014,2119479375,2062839349,0,0,0,0,0,421239534,0,0,0,0
13,2013,2,37805267096,28279647037,59822108763,0,1765234176,0,0,0,0,0,398338918,0,0,0,0
14,2013,3,38812412966,29575505011,63625873354,0,2557264803,0,0,0,0,0,458424402,0,0,0,0
15,2013,4,39087722362,29770793649,65086997369,2025408275,3044207184,0,0,16142669,0,0,499027324,0,0,0,0
16,2013,5,39515960081,30749025506,66456637513,0,2834805950,0,0,55046968,0,0,602452657,0,0,0,0
17,2013,6,40393998937,31088745758,70954554881,0,2943899812,0,0,108600220,0,0,530375188,0,0,0,0
18,2013,7,41427534045,31869013477,75253206093,1781782375,3474713373,0,0,225183655,0,0,563134847,0,0,0,0
19,2013,8,41849515254,33276477366,77551644574,0,3955563302,0,0,308094433,0,0,575784707,0,0,0,0
20,2013,9,42386406612,33322971608,78823362908,0,4551948358,0,0,355695216,0,0,540520130,0,0,0,0
21,2013,10,43316730338,34555942028,81810099057,1545705776,5363479985,0,0,470800677,0,0,574977592,0,0,0,0
22,2013,11,44642276212,35000498075,84107543555,0,6009569068,0,0,570086906,0,0,557965084,0,0,0,0
23,2013,12,45442338199,38280333793,90427840204,0,7051649587,0,0,698101696,0,0,610095556,0,0,0,0
24,2014,1,47229740983,37317859036,92672070273,1354735950,4735089268,0,0,768020079,0,0,639444541,0,0,0,0
25,2014,2,45759644706,38329853739,93200009559,0,5502154664,0,0,644766357,0,0,582171905,0,0,0,0
26,2014,3,47151362117,40745321268,96356354681,0,6112315318,0,0,904981508,0,0,685461888,0,0,0,0
27,2014,4,47789746257,41611847653,97971251910,1178604337,6404885248,0,0,904456554,0,0,683483230,0,0,0,0
28,2014,5,48966306039,41810117817,100557087229,0,6425604269,0,0,996276163,0,0,707429369,0,0,0,0
29,2014,6,49578549302,43042998130,102581077070,0,6830288268,0,0,1183867653,0,0,649215220,0,0,0,0
30,2014,7,50281208649,45142488348,107266700316,1194327790,7005283657,0,0,1409432243,0,0,720982270,0,0,0,0
31,2014,8,51027623220,46863334538,110023868509,0,7026578734,68992547,0,1437325333,0,0,670721186,0,0,0,0
32,2014,9,52468084675,47364325918,109391504541,0,7790129078,79321051,0,1554393101,0,0,644075034,0,0,0,0
33,2014,10,53734962789,48745457774,113574779744,1856980534,7521816402,84197323,0,1765985617,0,0,662468875,0,0,0,0
34,2014,11,54401388806,49797492858,115446864277,0,9161709678,157246035,0,1896307482,0,0,636872115,0,0,0,0
35,2014,12,56741575433,54883959050,126997680426,0,8649202124,303919080,0,2257856848,0,0,743020808,0,0,0,0
36,2015,1,56478744771,51117138529,131555393655,255160097,7424131322,301056742,269478617,2339940721,0,0,692314244,0,0,0,0
37,2015,2,56616122386,48190907763,133621596159,410524455,6863609610,488617322,244335610,2410956776,0,0,643795357,0,0,0,0
38,2015,3,56308605492,49930322438,143645365665,600194508,7071992381,669691750,276671430,2526300496,0,0,705770441,0,0,0,0
39,2015,4,55690457336,49869749537,148222124740,826571602,7269895159,756864789,323833693,2494442455,0,0,651222793,0,0,0,0
40,2015,5,56565621016,54046193943,151238025648,1031691726,6708321216,934467592,320169373,2477180344,0,0,626336657,0,0,0,0
41,2015,6,58135492304,54625891253,157773297640,1290836958,6143087389,1361305796,361615883,2301740293,0,0,610172108,0,0,0,0
42,2015,7,59755951960,57115424188,165669762401,1564899930,5978036856,1940911062,383889186,3065531357,0,0,625250167,0,0,0,0
43,2015,8,59869032890,57645046098,169579691741,1804818013,5876600333,2605152621,433749588,2129387714,0,0,590548787,0,0,0,0
