,ANNO,MES,COLOMBIA_TELECOMUNICACIONES,COLOMBIA_MOVIL,COMUNICACION_CELULAR_COMCEL,EMPRESA_DE_TELECOMUNICACIONES_DE_BOGOTA,UNE_EPM,AVANTEL,ALMACENES_EXITO,VIRGIN_MOBILE,PARTNERS_TELECOM,SETROC_MOBILE,UFF_MOVIL,CELLVOZ_COLOMBIA,LOGISTICA_FLASH,LOV_TELECOMUNICACIONES,SUMA_MOVIL
0,2012,1,1242463067,,1005222302,346777808.0,,,,,,,,,,,
1,2012,2,1272815849,,1034725774,,,,,,,,,,,,
2,2012,3,1402277830,1014434324.0,1174230699,,,,,,,,,,,,
3,2012,4,1385991002,1012540565.0,1181993271,32956341.0,,,,,,,26413773.0,,,,
4,2012,5,1489735098,1111925240.0,1274426681,,,,,,,,25939149.0,,,,
5,2012,6,1452953719,1053810873.0,1291351202,,,,,,,,29864960.0,,,,
6,2012,7,1446808026,1113651049.0,1338254063,28080113.0,,,,,,,35249050.0,,,,
7,2012,8,1478454892,1032491714.0,1490740187,,,,,,,,36495053.0,,,,
8,2012,9,1325411888,1119522745.0,1623039663,,,,,,,,36582400.0,,,,
9,2012,10,1408225104,1259769670.0,1824208055,32195026.0,,,,,,,51207199.0,,,,
10,2012,11,1358725420,1114086371.0,1368171824,,,,,,,,49199073.0,,,,
11,2012,12,1290789916,1216941216.0,1423114010,,,,,,,,51661005.0,,,,
12,2013,1,1371182068,1266882648.0,1503358090,29973819.0,189256522.0,,,,,,59357680.0,,,,
13,2013,2,1341619761,1276161860.0,1451544963,,172188076.0,,,,,,57625325.0,,,,
14,2013,3,1582314067,1185768630.0,1741453736,,171670564.0,,,,,,66468131.0,,,,
15,2013,4,1527243165,1325097040.0,1689265794,28384378.0,161675142.0,,,825004.0,,,56694008.0,,,,
16,2013,5,1766918688,1452930152.0,2332513758,,397290872.0,,,2813287.0,,,34945952.0,,,,
17,2013,6,1747629935,1335464675.0,2348907685,,392556704.0,,,5550235.0,,,26929551.0,,,,
18,2013,7,1733507736,1458334841.0,2441630632,31230350.0,387235979.0,,,11508469.0,,,36034888.0,,,,
19,2013,8,1814436741,1561319474.0,2777098377,,448391715.0,,,15745793.0,,,40234509.0,,,,
20,2013,9,1588042488,1494236167.0,2884615090,,460193338.0,,,18178528.0,,,34745736.0,,,,
21,2013,10,1696159115,1391596733.0,3209487514,29629605.0,480352947.0,,,24061227.0,,,34195281.0,,,,
22,2013,11,1733707000,1350018729.0,3145522021,,526403410.0,,,29135451.0,,,33881415.0,,,,
23,2013,12,1757826949,1435586846.0,3284928624,,529179437.0,,,35677908.0,,,23071657.0,,,,
24,2014,1,1774526086,1448512841.0,3516598365,27078000.0,822969125.0,,,39362560.0,,,34670718.0,,,,
25,2014,2,1776170108,1377157019.0,3345952975,,812134016.0,,,39056606.0,,,32130573.0,,,,
26,2014,3,2093069712,1326464809.0,3944729526,,898766864.0,,,48659436.0,,,35355071.0,,,,
27,2014,4,2042039279,1584674885.0,3985924056,28297426.0,706940189.0,,,50246554.0,,,27078702.0,,,,
28,2014,5,2250354621,1593970104.0,4127103305,,1154617201.0,,,56559938.0,,,34302471.0,,,,
29,2014,6,2259630270,1790374043.0,4316121844,,1240050183.0,,,63565116.0,,,37345632.0,,,,
30,2014,7,2323048596,1969117295.0,4708553934,26225089.0,984686142.0,,,77573534.0,,,39145868.0,,,,
31,2014,8,2405186042,1674553460.0,4864731633,,918960446.0,49793.0,,84644577.0,,,37942746.0,,,,
32,2014,9,2404821271,1945045868.0,4883190789,,1293718988.0,3420438.0,,90284787.0,,,34602852.0,,,,
33,2014,10,2535214528,2182145966.0,5065544297,1171998311.0,1528226318.0,3211750.0,,101503838.0,,,39591964.0,,,,
34,2014,11,2505127939,2209954701.0,5021762514,,1540181456.0,5565250.0,,103165549.0,,,37018534.0,,,,
35,2014,12,2717275399,2467210108.0,5272868382,,1499409248.0,12644076.0,,126085884.0,,,40042825.0,,,,
36,2015,1,2827996502,2399422122.0,6576626326,44644922.0,1434533540.0,15081259.0,15083671.0,132116692.0,,,37818155.0,,,,
37,2015,2,2842525183,2316325489.0,6277772689,70353703.0,1316901541.0,17666927.0,14633720.0,131096557.0,,,39898303.0,,,,
38,2015,3,3224350355,2578984302.0,7456166724,111765402.0,1470299527.0,22831834.0,16144361.0,146098940.0,,,38602869.0,,,,
39,2015,4,3115094329,2443347260.0,7619043056,145792939.0,1447566597.0,47875320.0,20830081.0,136005382.0,,,34956673.0,,,,
40,2015,5,3419571486,2715270979.0,7232959408,193791360.0,1439153692.0,64480017.0,22949630.0,135793329.0,,,35041766.0,,,,
41,2015,6,3273090746,2779842488.0,7321926062,211090470.0,1389197907.0,71200294.0,25355355.0,131025894.0,,,33577037.0,,,,
42,2015,7,3308864455,3016080780.0,7916490582,223531200.0,1438361514.0,64779982.0,28158461.0,166716205.0,,,37142484.0,,,,
43,2015,8,3443806285,2927481321.0,7903234903,227226843.0,1403177613.0,80196229.0,27564710.0,167412586.0,,,40310377.0,,,,
44,2015,9,3316151205,3038747260.0,7605280153,230521939.0,1296986412.0,80857289.0,27907510.0,180933109.0,,,42529899.0,,,,
45,2015,10,3669146002,3150113538.0,10247548343,309854932.0,1350252068.0,108284239.0,30304214.0,208538962.0,,,40614564.0,,,,
46,2015,11,3648292601,3040489602.0,9783497293,319049564.0,1263270759.0,117629197.0,31256297.0,206247404.0,,,39704159.0,,,,
47,2015,12,3885335232,3210720004.0,10949549189,338607505.0,1151569745.0,120907149.0,38534216.0,221734443.0,,,38888337.0,,,,
48,2016,1,3863010590,3095268641.0,9242923459,341680286.0,1067858647.0,196730994.0,34318525.0,221205612.0,,,36840986.0,,,,
49,2016,2,3683879052,3098678592.0,9067382858,325901493.0,784856830.0,187871403.0,37238401.0,215332824.0,,,33538805.0,,,,
50,2016,3,4108520952,3608308930.0,10177852786,396182781.0,730681354.0,220123969.0,48178924.0,242305585.0,,,38883925.0,,,,
51,2016,4,3945029656,3537251763.0,10465577134,396181828.0,662153687.0,209399473.0,42690401.0,184021526.0,,,39097117.0,,,,
52,2016,5,4399058623,3847547402.0,11593877046,466182439.0,619609994.0,202046353.0,47877939.0,193003114.0,,,31565205.0,,,,
53,2016,6,4239407737,3846577623.0,11620020746,455757018.0,565445969.0,215334454.0,44528846.0,218352741.0,,,32674668.0,,,,
